date,effective_date,price_Bangchak,price_PTT,price_Shell
2019-01-01,27 Dec 05:00,25.75,25.75,
2019-01-01,28 Dec 05:00,,,25.75
2019-01-02,27 Dec 05:00,25.75,25.75,
2019-01-02,28 Dec 05:00,,,25.75
2019-01-03,27 Dec 05:00,25.75,25.75,
2019-01-03,28 Dec 05:00,,,25.75
2019-01-04,27 Dec 05:00,25.75,25.75,
2019-01-04,28 Dec 05:00,,,25.75
2019-01-05,27 Dec 05:00,25.75,25.75,
2019-01-05,28 Dec 05:00,,,25.75
2019-01-06,27 Dec 05:00,25.75,25.75,
2019-01-06,28 Dec 05:00,,,25.75
2019-01-07,27 Dec 05:00,25.75,25.75,
2019-01-07,28 Dec 05:00,,,25.75
2019-01-08,27 Dec 05:00,25.75,25.75,
2019-01-08,28 Dec 05:00,,,25.75
2019-01-09,08 Jan 11:26,,,26.25
2019-01-09,27 Dec 05:00,25.75,25.75,
2019-01-10,09 Jan 05:00,26.25,26.25,26.25
2019-01-11,09 Jan 05:00,26.25,26.25,26.25
2019-01-12,11 Jan 05:00,26.75,26.75,26.75
2019-01-13,11 Jan 05:00,26.75,26.75,26.75
2019-01-14,11 Jan 05:00,26.75,26.75,26.75
2019-01-15,14 Jan 05:00,26.75,26.75,26.75
2019-01-16,14 Jan 05:00,26.75,26.75,26.75
2019-01-17,14 Jan 05:00,,,26.75
2019-01-17,16 Jan 05:00,,26.35,
2019-01-17,16 Jan 08:50,26.35,,
2019-01-18,16 Jan 05:00,,26.35,
2019-01-18,16 Jan 08:50,26.35,,
2019-01-18,17 Jan 05:00,,,26.35
2019-01-19,16 Jan 05:00,,26.35,
2019-01-19,16 Jan 08:50,26.35,,
2019-01-19,17 Jan 05:00,,,26.35
2019-01-20,16 Jan 05:00,,26.35,
2019-01-20,16 Jan 08:50,26.35,,
2019-01-20,17 Jan 05:00,,,26.35
2019-01-21,16 Jan 05:00,,26.35,
2019-01-21,16 Jan 08:50,26.35,,
2019-01-21,17 Jan 05:00,,,26.35
2019-01-22,16 Jan 05:00,,26.35,
2019-01-22,16 Jan 08:50,26.35,,
2019-01-22,17 Jan 05:00,,,26.35
2019-01-23,22 Jan 05:00,26.75,26.75,26.75
2019-01-24,22 Jan 05:00,26.75,26.75,26.75
2019-01-25,22 Jan 05:00,26.75,26.75,26.75
2019-01-26,22 Jan 05:00,26.75,26.75,26.75
2019-01-27,26 Jan 05:00,26.35,26.35,26.35
2019-01-28,26 Jan 05:00,26.35,26.35,26.35
2019-01-29,26 Jan 05:00,26.35,26.35,26.35
2019-01-30,26 Jan 05:00,26.35,26.35,26.35
2019-01-31,30 Jan 05:00,26.35,26.35,26.35
2019-02-01,30 Jan 05:00,26.35,26.35,26.35
2019-02-02,01 Feb 05:00,26.35,26.35,
2019-02-02,30 Jan 05:00,,,26.35
2019-02-03,01 Feb 05:00,26.35,26.35,
2019-02-03,30 Jan 05:00,,,26.35
2019-02-04,01 Feb 05:00,26.35,26.35,
2019-02-04,30 Jan 05:00,,,26.35
2019-02-05,01 Feb 05:00,26.35,26.35,
2019-02-05,30 Jan 05:00,,,26.35
2019-02-06,05 Feb 05:00,26.75,26.75,26.75
2019-02-07,05 Feb 05:00,,,26.75
2019-02-07,06 Feb 05:00,26.75,26.75,
2019-02-08,05 Feb 05:00,,,26.75
2019-02-08,06 Feb 05:00,26.75,26.75,
2019-02-09,05 Feb 05:00,,,26.75
2019-02-09,06 Feb 05:00,26.75,26.75,
2019-02-10,05 Feb 05:00,,,26.75
2019-02-10,06 Feb 05:00,26.75,26.75,
2019-02-11,05 Feb 05:00,,,26.75
2019-02-11,06 Feb 05:00,26.75,26.75,
2019-02-12,05 Feb 05:00,,,26.75
2019-02-12,06 Feb 05:00,26.75,26.75,
2019-02-13,05 Feb 05:00,,,26.75
2019-02-13,06 Feb 05:00,26.75,26.75,
2019-02-14,05 Feb 05:00,,,26.75
2019-02-14,06 Feb 05:00,26.75,26.75,
2019-02-15,05 Feb 05:00,,,26.75
2019-02-15,06 Feb 05:00,26.75,26.75,
2019-02-16,15 Feb 05:00,26.75,26.75,26.75
2019-02-17,15 Feb 05:00,26.75,26.75,26.75
2019-02-18,15 Feb 05:00,26.75,26.75,26.75
2019-02-19,18 Feb 05:00,27.15,27.15,27.15
2019-02-20,18 Feb 05:00,27.15,27.15,27.15
2019-02-21,18 Feb 05:00,27.15,27.15,27.15
2019-02-22,21 Feb 05:00,27.55,27.55,27.55
2019-02-23,21 Feb 05:00,27.55,27.55,27.55
2019-02-24,21 Feb 05:00,27.55,27.55,27.55
2019-02-25,21 Feb 05:00,27.55,27.55,27.55
2019-02-26,21 Feb 05:00,27.55,27.55,27.55
2019-02-27,21 Feb 05:00,27.55,27.55,27.55
2019-02-28,21 Feb 05:00,27.55,27.55,27.55
2019-03-01,21 Feb 05:00,27.55,27.55,27.55
2019-03-02,01 Mar 05:00,27.55,27.55,
2019-03-02,21 Feb 05:00,,,27.55
2019-03-03,02 Mar 05:00,27.95,27.95,27.95
