date,effective_date,price_Bangchak,price_PTT,price_Shell
2018-01-01,30 Dec 05:00,27.95,27.95,0.0
2018-01-02,30 Dec 05:00,27.95,27.95,0.0
2018-01-03,30 Dec 05:00,27.95,27.95,0.0
2018-01-04,30 Dec 05:00,27.95,27.95,0.0
2018-01-05,30 Dec 05:00,27.95,27.95,0.0
2018-01-06,30 Dec 05:00,27.95,27.95,0.0
2018-01-07,30 Dec 05:00,27.95,27.95,0.0
2018-01-08,30 Dec 05:00,27.95,27.95,0.0
2018-01-09,30 Dec 05:00,27.95,27.95,0.0
2018-01-10,09 Jan 05:00,27.95,27.95,0.0
2018-01-11,10 Jan 05:00,27.95,27.95,0.0
2018-01-12,10 Jan 05:00,27.95,27.95,0.0
2018-01-13,10 Jan 05:00,27.95,27.95,0.0
2018-01-14,09 Jan 05:00,27.95,27.95,0.0
2018-01-15,10 Jan 05:00,27.95,27.95,0.0
2018-01-16,10 Jan 05:00,27.95,27.95,0.0
2018-01-17,10 Jan 05:00,27.95,27.95,0.0
2018-01-18,09 Jan 05:00,27.95,27.95,0.0
2018-01-19,18 Jan 05:00,28.45,28.45,0.0
2018-01-20,18 Jan 05:00,28.45,28.45,0.0
2018-01-21,18 Jan 05:00,28.45,28.45,0.0
2018-01-22,17 Jan 05:00,28.45,28.45,0.0
2018-01-23,17 Jan 05:00,28.45,28.45,0.0
2018-01-24,18 Jan 05:00,28.45,28.45,0.0
2018-01-25,18 Jan 05:00,28.45,28.45,0.0
2018-01-26,18 Jan 05:00,28.45,28.45,0.0
2018-01-27,26 Jan 05:00,28.45,28.45,0.0
2018-01-28,27 Jan 05:00,28.45,28.45,0.0
2018-01-29,27 Jan 05:00,28.45,28.45,0.0
2018-01-30,27 Jan 05:00,28.45,28.45,0.0
2018-01-31,27 Jan 05:00,28.45,28.45,0.0
2018-02-01,27 Jan 05:00,28.45,28.45,0.0
2018-02-02,27 Jan 05:00,28.45,28.45,0.0
2018-02-03,27 Jan 05:00,28.45,28.45,0.0
2018-02-04,03 Feb 05:00,28.45,28.45,0.0
2018-02-05,27 Jan 05:00,28.45,28.45,0.0
2018-02-06,27 Jan 05:00,28.45,28.45,0.0
2018-02-07,06 Feb 05:00,28.45,28.45,0.0
2018-02-08,03 Feb 05:00,28.45,28.45,0.0
2018-02-09,06 Feb 05:00,28.45,28.45,0.0
2018-02-10,09 Feb 05:00,28.05,28.05,28.05
2018-02-11,09 Feb 05:00,28.05,28.05,28.05
2018-02-12,09 Feb 05:00,28.05,28.05,28.05
2018-02-13,09 Feb 05:00,28.05,28.05,28.05
2018-02-14,09 Feb 05:00,28.05,28.05,28.05
2018-02-15,14 Feb 05:00,27.55,27.55,27.55
2018-02-16,14 Feb 05:00,27.55,27.55,27.55
2018-02-17,16 Feb 05:00,27.05,27.05,27.05
2018-02-18,16 Feb 05:00,27.05,27.05,27.05
2018-02-19,16 Feb 05:00,27.05,27.05,27.05
2018-02-20,16 Feb 05:00,27.05,27.05,27.05
2018-02-21,16 Feb 05:00,27.05,27.05,27.05
2018-02-22,21 Feb 05:00,27.05,27.05,27.55
2018-02-23,21 Feb 05:00,27.05,27.05,27.55
2018-02-24,21 Feb 05:00,27.55,27.55,27.55
2018-02-25,23 Feb 05:00,27.55,27.55,27.55
2018-02-26,23 Feb 05:00,27.55,27.55,27.55
2018-02-27,23 Feb 05:00,27.55,27.55,27.55
2018-02-28,21 Feb 05:00,27.55,27.55,27.55
2018-03-01,23 Feb 05:00,27.55,27.55,27.55
2018-03-02,01 Mar 05:00,27.85,27.85,27.85
2018-03-03,01 Mar 05:00,27.85,27.85,27.85
2018-03-04,01 Mar 05:00,27.85,27.85,27.85
2018-03-05,01 Mar 05:00,27.85,27.85,27.85
2018-03-06,01 Mar 05:00,27.85,27.85,27.85
2018-03-07,06 Mar 05:00,27.35,27.35,27.35
2018-03-08,06 Mar 05:00,27.35,27.35,27.35
2018-03-09,06 Mar 05:00,27.35,27.35,27.35
2018-03-10,06 Mar 05:00,27.35,27.35,27.35
2018-03-11,06 Mar 05:00,27.35,27.35,27.35
2018-03-12,06 Mar 05:00,27.35,27.35,27.35
2018-03-13,06 Mar 05:00,27.35,27.35,27.35
2018-03-14,06 Mar 05:00,27.35,27.35,27.35
2018-03-15,06 Mar 05:00,27.35,27.35,27.35
2018-03-16,06 Mar 05:00,27.35,27.35,27.35
2018-03-17,06 Mar 05:00,27.35,27.35,27.35
2018-03-18,06 Mar 05:00,27.35,27.35,27.35
2018-03-19,06 Mar 05:00,27.35,27.35,27.35
2018-03-20,06 Mar 05:00,27.35,27.35,27.35
2018-03-21,06 Mar 05:00,27.35,27.35,27.35
2018-03-22,21 Mar 05:00,27.35,27.35,27.75
2018-03-23,21 Mar 05:00,27.75,27.75,27.75
2018-03-24,22 Mar 05:00,27.75,27.75,27.75
2018-03-25,24 Mar 05:00,28.05,28.05,28.05
2018-03-26,24 Mar 05:00,28.05,28.05,28.05
2018-03-27,24 Mar 05:00,28.05,28.05,28.05
2018-03-28,24 Mar 05:00,28.05,28.05,28.05
2018-03-29,24 Mar 05:00,28.05,28.05,28.45
2018-03-30,28 Mar 05:00,28.35,28.35,28.45
2018-03-31,29 Mar 05:00,28.35,28.35,28.45
2018-04-01,29 Mar 05:00,28.35,28.35,28.45
2018-04-02,29 Mar 05:00,28.35,28.35,28.45
2018-04-03,29 Mar 05:00,28.35,28.35,28.45
2018-04-04,29 Mar 05:00,28.35,28.35,28.45
2018-04-05,29 Mar 05:00,28.35,28.35,28.45
2018-04-06,29 Mar 05:00,28.35,28.35,28.45
2018-04-07,06 Apr 05:00,27.95,27.95,27.95
2018-04-08,06 Apr 05:00,27.95,27.95,27.95
2018-04-09,06 Apr 05:00,27.95,27.95,27.95
2018-04-10,06 Apr 05:00,27.95,27.95,27.95
2018-04-11,06 Apr 05:00,27.95,27.95,27.95
2018-04-12,06 Apr 05:00,27.95,27.95,27.95
2018-04-13,06 Apr 05:00,27.95,27.95,27.95
2018-04-14,13 Apr 05:00,27.95,27.95,28.45
2018-04-15,13 Apr 05:00,27.95,27.95,28.45
2018-04-16,06 Apr 05:00,27.95,27.95,28.45
2018-04-17,13 Apr 05:00,27.95,27.95,28.45
2018-04-18,13 Apr 05:00,27.95,27.95,28.45
2018-04-19,18 Apr 05:00,28.45,28.45,28.45
2018-04-20,13 Apr 05:00,28.45,28.45,28.45
2018-04-21,18 Apr 05:00,28.45,28.45,28.45
2018-04-22,21 Apr 05:00,28.15,28.15,28.15
2018-04-23,21 Apr 05:00,28.15,28.15,28.15
2018-04-24,21 Apr 05:00,28.15,28.15,28.15
2018-04-25,21 Apr 05:00,28.15,28.15,28.15
2018-04-26,25 Apr 05:00,28.55,28.55,28.55
2018-04-27,25 Apr 05:00,28.55,28.55,28.55
2018-04-28,25 Apr 05:00,28.55,28.55,28.55
2018-04-29,28 Apr 05:00,28.55,28.55,28.95
2018-04-30,28 Apr 05:00,28.55,28.55,28.95
2018-05-01,28 Apr 05:00,28.55,28.55,28.95
2018-05-02,01 May 05:00,28.95,28.95,28.95
2018-05-03,28 Apr 05:00,28.95,28.95,28.95
2018-05-04,28 Apr 05:00,28.95,28.95,28.95
2018-05-05,28 Apr 05:00,28.95,28.95,28.95
2018-05-06,01 May 05:00,28.95,28.95,28.95
2018-05-07,28 Apr 05:00,28.95,28.95,28.95
2018-05-08,28 Apr 05:00,28.95,28.95,28.95
2018-05-09,08 May 05:00,28.55,28.55,28.55
2018-05-10,08 May 05:00,28.55,28.55,28.55
2018-05-11,10 May 05:00,28.55,28.55,29.15
2018-05-12,10 May 05:00,29.15,29.15,29.15
2018-05-13,11 May 05:00,29.15,29.15,29.15
2018-05-14,11 May 05:00,29.15,29.15,29.15
2018-05-15,11 May 05:00,29.15,29.15,29.15
2018-05-16,11 May 05:00,29.15,29.15,29.15
2018-05-17,11 May 05:00,29.15,29.15,29.15
2018-05-18,17 May 05:00,29.65,29.65,29.65
2018-05-19,17 May 05:00,29.65,29.65,29.65
2018-05-20,19 May 05:00,30.25,30.25,30.25
2018-05-21,19 May 05:00,30.25,30.25,30.25
2018-05-22,19 May 05:00,30.25,30.25,30.25
2018-05-23,19 May 05:00,30.25,30.25,30.25
